"","Data Source","World Development Indicators","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66"
"143","Lower middle income","LMC","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29.358651685524286","29.420360612291464","28.239841180083776","28.103880599920391","27.975736084971523","27.839737516607357","27.703738948243185","27.567740371805485","27.431741795367792","27.295743222966852","27.091465621882566","27.012113230600448","26.933330890268344","26.84667183433756","26.769542700225202","26.687230075762212","26.604591958953744","26.525333700300923","26.44598337475286","26.366701990403666","26.287072917885627","26.170931248586591","26.054654933191777","25.938956785448752","25.82357687177635","25.703167034589654","25.643353976944717","25.517128647021263","25.413839090147221","25.311139041638125","25.208598149115087",NA
"144","Low & middle income","LMY","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32.11167112681472","32.063345268533048","33.678373564531391","33.591533953512403","33.507581094084273","33.420431991825943","33.332394238594048","33.243955425631135","33.164983795505222","33.074349216524233","32.966676435943988","32.904172079496085","32.842355763264209","32.777213504174512","32.663107792184711","32.599376407181722","32.537624371108322","32.475532662069895","32.413668226905827","32.352390130722981","32.289885555113464","32.22785491834351","32.123628975449783","32.062969707077229","32.001576780753467","31.938422968985009","31.892285755448874","31.822985463505404","31.769599188921646","31.713158302144695","31.6579877982733",NA
"145","Lesotho","LSO","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629","1.1370223978919629",NA
"146","Late-demographic dividend","LTE","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39.821794646964022","39.785357208434974","39.750210868001794","39.713377747102932","39.674282189957111","39.634214326153433","39.592469295386984","39.546951387601538","39.526890393146324","39.509878591045549","39.491973211504224","39.468086855080699","39.450153780782863","39.429794690500742","39.398757096844555","39.38250660587245","39.366350258954483","39.349550965328717","39.332523185580243","39.351958863501523","39.371390747910183","39.390265865257724","39.409479406875825","39.429639431346949","39.446930438792258","39.448680392254396","39.467442997744037","39.481978083453591","39.497900182766273",NA
"147","Lithuania","LTU","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31.269942565411611","31.389597957881303","31.509253350350992","31.628908742820677","31.748564135290362","31.868219527760051","31.987874920229736","32.107530312699431","32.227185705169113","32.46649649010849","32.70580727504786","32.945118059987237","33.184428844926614","33.423739629865985","33.663050414805362","33.902361199744732","34.144395692062226","34.383725568408458","34.623055444754684","34.677856846539235","34.732105817404346","34.785799760670123","34.853950518754992","34.90822027134876","34.960569585900835","35.056911607413674","35.095002395018362","35.132545512615778","35.148514851485146",NA
"148","Luxembourg","LUX","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33.676965266502492","33.754651460888887","33.832337655275282","33.910023849661677","33.987710044048072","34.065396238434467","34.143082432820862","34.220768627207256","34.298454821593651","34.376141015980046","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441","34.453827210366441",NA
"149","Latvia","LVA","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51.209282144406764","51.318559467755151","51.427836791103545","51.537114114451924","51.646391437800311","51.755668761148698","51.864946084497085","51.974223407845464","52.083500731193851","52.294213122920915","52.504925514647979","52.715637906375044","52.926350298102122","53.137062689829172","53.347775081556236","53.5584874732833","53.769199865010364","53.979912256737428","54.190624648464492","54.252719880437752","54.314815112411019","54.376910344384278","54.439005576357538","54.50110080833079","54.563292461471704","54.625484114612632","54.687675767753554","54.749867420894461","54.809416680057851",NA
"150","Macao SAR, China","MAC","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","St. Martin (French part)","MAF","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001","24.800000000000001",NA
"152","Morocco","MAR","Forest area (% of land area)","AG.LND.FRST.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.290589289715438","12.295350660990366","12.300112032265293","12.304873403540221","12.309634774815146","12.314396146090074","12.319157517365001","12.323918888639929","12.328680259914854","12.333441631189784","12.338203002464711","12.375852565538874","12.413502128613041","12.451151691687205","12.488801254761372","12.526450817835538","12.564100380909702","12.601749943983867","12.639399507058032","12.677049070132199","12.714698633206362","12.719233699305402","12.723768765404436","12.728303831503474","12.732838897602511","12.737373963701545","12.771207707819855","12.79764732242886","12.820053775487342","12.843580551198746","12.866883262379567",NA
